id,name,partOf,locationType
A991CCDE,Colombo Divisional Secretariat,Location/LK11,CRVS_OFFICE
2D7A13E9,Dehiwala Divisional Secretariat,Location/LK11,CRVS_OFFICE
F2E08D00,Homagama Divisional Secretariat,Location/LK11,CRVS_OFFICE
91F119BE,Kaduwela Divisional Secretariat,Location/LK11,CRVS_OFFICE
ABE59341,Kesbewa Divisional Secretariat,Location/LK11,CRVS_OFFICE
F7782DB5,Kolonnawa Divisional Secretariat,Location/LK11,CRVS_OFFICE
FB19C2B1,Maharagama Divisional Secretariat,Location/LK11,CRVS_OFFICE
EEB2681B,Moratuwa Divisional Secretariat,Location/LK11,CRVS_OFFICE
CB130431,Padukka Divisional Secretariat,Location/LK11,CRVS_OFFICE
C13186EB,Ratmalana Divisional Secretariat,Location/LK11,CRVS_OFFICE
CEE8C47A,Seethawaka Divisional Secretariat,Location/LK11,CRVS_OFFICE
A0F675F8,Sri Jayawardanapura Kotte Divisional Secretariat,Location/LK11,CRVS_OFFICE
C78DF4AF,Thimbirigasyaya Divisional Secretariat,Location/LK11,CRVS_OFFICE
5F8E2D17,Attanagalla Divisional Secretariat,Location/LK12,CRVS_OFFICE
6930D379,Biyagama Divisional Secretariat,Location/LK12,CRVS_OFFICE
EC5921B7,Divulapitiya Divisional Secretariat,Location/LK12,CRVS_OFFICE
0BF07841,Dompe Divisional Secretariat,Location/LK12,CRVS_OFFICE
57C26A44,Gampaha Divisional Secretariat,Location/LK12,CRVS_OFFICE
4FCF9C59,Ja Ela Divisional Secretariat,Location/LK12,CRVS_OFFICE
545C3658,Katana Divisional Secretariat,Location/LK12,CRVS_OFFICE
C96BB555,Kelaniya Divisional Secretariat,Location/LK12,CRVS_OFFICE
557004F5,Mahara Divisional Secretariat,Location/LK12,CRVS_OFFICE
A5C75166,Minuwangoda Divisional Secretariat,Location/LK12,CRVS_OFFICE
5C3248B7,Mirigama Divisional Secretariat,Location/LK12,CRVS_OFFICE
EE4ACEF4,Negombo Divisional Secretariat,Location/LK12,CRVS_OFFICE
8EC96275,Wattala Divisional Secretariat,Location/LK12,CRVS_OFFICE
0C39083B,Agalawatta Divisional Secretariat,Location/LK13,CRVS_OFFICE
2743011F,Bandaragama Divisional Secretariat,Location/LK13,CRVS_OFFICE
5FE8FA44,Beruwala Divisional Secretariat,Location/LK13,CRVS_OFFICE
13F97196,Bulathsinhala Divisional Secretariat,Location/LK13,CRVS_OFFICE
99E6B545,Dodangoda Divisional Secretariat,Location/LK13,CRVS_OFFICE
27AC4EFF,Horana Divisional Secretariat,Location/LK13,CRVS_OFFICE
E855E7B3,Ingiriya Divisional Secretariat,Location/LK13,CRVS_OFFICE
4FC8F367,Kalutara Divisional Secretariat,Location/LK13,CRVS_OFFICE
CDAD2278,Madurawala Divisional Secretariat,Location/LK13,CRVS_OFFICE
C74FBF2A,Matugama Divisional Secretariat,Location/LK13,CRVS_OFFICE
0512D3CA,Millaniya Divisional Secretariat,Location/LK13,CRVS_OFFICE
8397D740,Palindanuwara Divisional Secretariat,Location/LK13,CRVS_OFFICE
FFA4D2EC,Panadura Divisional Secretariat,Location/LK13,CRVS_OFFICE
D525E400,Walallawita Divisional Secretariat,Location/LK13,CRVS_OFFICE
B0260764,Akurana Divisional Secretariat,Location/LK21,CRVS_OFFICE
5851D6F9,Deltota Divisional Secretariat,Location/LK21,CRVS_OFFICE
08C5E0FE,Doluwa Divisional Secretariat,Location/LK21,CRVS_OFFICE
79146ACE,Ganga Ihala Korale Divisional Secretariat,Location/LK21,CRVS_OFFICE
0FB9AA8F,Gangawata Korale Divisional Secretariat,Location/LK21,CRVS_OFFICE
6FFB1945,Harispattuwa Divisional Secretariat,Location/LK21,CRVS_OFFICE
26D4DC8F,Hatharaliyadda Divisional Secretariat,Location/LK21,CRVS_OFFICE
7E846F2F,Kundasale Divisional Secretariat,Location/LK21,CRVS_OFFICE
0246E307,Medadumbara Divisional Secretariat,Location/LK21,CRVS_OFFICE
8D089118,Minipe Divisional Secretariat,Location/LK21,CRVS_OFFICE
304F97A1,Panvila Divisional Secretariat,Location/LK21,CRVS_OFFICE
6EC9C314,Pasbagekorale Divisional Secretariat,Location/LK21,CRVS_OFFICE
31A050B3,Pathadumbara Divisional Secretariat,Location/LK21,CRVS_OFFICE
44E9F8CD,Pathahewaheta Divisional Secretariat,Location/LK21,CRVS_OFFICE
4E6CAF1A,Poojapitiya Divisional Secretariat,Location/LK21,CRVS_OFFICE
462DBA56,Tumpane Divisional Secretariat,Location/LK21,CRVS_OFFICE
2D05BDEE,Udapalatha Divisional Secretariat,Location/LK21,CRVS_OFFICE
08F845EB,Ududumbara Divisional Secretariat,Location/LK21,CRVS_OFFICE
