id,name,partOf,locationType
0DCB8152,Colombo National Hospital,Location/LK11,HEALTH_FACILITY
5447D1DA,Lady Ridgeway Hospital for Children,Location/LK11,HEALTH_FACILITY
3EDD7233,Sri Jayawardenepura General Hospital,Location/LK11,HEALTH_FACILITY
4F16C166,De Soysa Hospital for Women,Location/LK11,HEALTH_FACILITY
47354666,Karapitiya Teaching Hospital,Location/LK31,HEALTH_FACILITY
780D175C,Teaching Hospital Kandy,Location/LK21,HEALTH_FACILITY
7CC6192F,Jaffna Teaching Hospital,Location/LK41,HEALTH_FACILITY
5746AE34,Teaching Hospital Kurunegala,Location/LK61,HEALTH_FACILITY
73CBC3F6,Gampaha District General Hospital,Location/LK12,HEALTH_FACILITY
E9342CE7,Matara District General Hospital,Location/LK32,HEALTH_FACILITY
6E3DF4D0,Anuradhapura District General Hospital,Location/LK71,HEALTH_FACILITY
E73A7406,Batticaloa Teaching Hospital,Location/LK51,HEALTH_FACILITY
6E9B775B,Trincomalee District General Hospital,Location/LK53,HEALTH_FACILITY
3276973B,Rathnapura Teaching Hospital,Location/LK91,HEALTH_FACILITY
DDABAF7D,Badulla Provincial General Hospital,Location/LK81,HEALTH_FACILITY
45494AC2,Base Hospital Ambalangoda,Location/LK31,HEALTH_FACILITY
CCF1ED05,Base Hospital Kalmunai,Location/LK52,HEALTH_FACILITY
51D6E5CF,Chilaw General Hospital,Location/LK62,HEALTH_FACILITY
483A5229,Base Hospital Polonnaruwa,Location/LK72,HEALTH_FACILITY
96D888C2,Vavuniya Hospital,Location/LK43,HEALTH_FACILITY
BEE86DDB,Mannar District General Hospital,Location/LK42,HEALTH_FACILITY
EBB7D6FE,Kilinochchi District Hospital,Location/LK45,HEALTH_FACILITY
A87A1B3D,Mullaitivu District Hospital,Location/LK44,HEALTH_FACILITY
2F86F6DC,Kuliyapitiya Hospital,Location/LK61,HEALTH_FACILITY
043A65FE,Nuwara Eliya General Hospital,Location/LK23,HEALTH_FACILITY
