admin4Name_en,admin4Name_alias,admin4Pcode,admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
Sammanthranapura,Sammanthranapura,LK1103005,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Mattakkuliya,Mattakkuliya,LK1103010,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Modara,Modara,LK1103015,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Madampitiya,Madampitiya,LK1103020,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Mahawatta,Mahawatta,LK1103025,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Aluthmawatha,Aluthmawatha,LK1103030,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Lunupokuna,Lunupokuna,LK1103035,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Bloemendhal,Bloemendhal,LK1103040,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Kotahena East,Kotahena East,LK1103045,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Kotahena West,Kotahena West,LK1103050,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Kochchikade North,Kochchikade North,LK1103055,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Jinthupitiya,Jinthupitiya,LK1103060,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
Masangasweediya,Masangasweediya,LK1103065,Colombo,Colombo,LK1103,Colombo,Colombo,LK11,Western,Western,LK1,Sri Lanka,Sri Lanka,LK
